Model,Memory used (bytes),Predictor size (bytes),Learner size (bytes),Models size (bytes),Total deployment size (bytes)
XT_164,134230,458,6652,444237,451347
XT_165,140135,458,6652,688265,695375
XT_166,135254,456,6652,1470248,1477356
XT_167,132235,456,6652,636344,643452
XT_168,125733,456,6652,1470248,1477356
XT_169,144367,458,6652,126224,133334
XT_170,133209,456,6652,217767,224875
XT_171,135075,456,6652,477337,484445
XT_172,116579,458,6652,550433,557543
XT_173,128113,456,6652,146837,153945
XT_174,129059,458,6652,168793,175903
XT_175,139657,458,6652,240344,247454
XT_176,142379,458,6652,444237,451347
XT_177,570137,458,6652,936141,943251
XT_178,169690,458,6652,540945,548055
XT_179,161204,458,6652,240344,247454
XT_180,145126,456,6652,124108,131216
XT_181,143529,456,6652,146837,153945
XT_182,142881,456,6652,217767,224875
XT_183,144745,458,6652,540945,548055
XT_184,136451,458,6652,527246,534356
XT_185,135502,458,6652,423555,430665
XT_186,123317,456,6652,124108,131216
XT_187,135536,458,6652,126224,133334
XT_188,142232,458,6652,126224,133334
XT_189,139067,456,6652,636344,643452
XT_190,144719,456,6652,124108,131216
XT_191,132891,458,6652,936141,943251
XT_192,140524,456,6652,146837,153945
XT_193,136508,456,6652,477337,484445
XT_194,137155,458,6652,696745,703855
XT_195,136960,458,6652,1174728,1181838
XT_196,130111,458,6652,696745,703855
XT_197,132681,458,6652,1089279,1096389
XT_198,134167,458,6652,451947,459057
XT_199,133187,456,6652,636344,643452
XT_200,139226,458,6652,126224,133334
XGB_0,1251743,391,6652,8578,15621
XGB_1,118747,417,6652,8607,15676
XGB_2,101677,414,6664,8142,15220
XGB_3,100994,439,6652,8147,15238
XGB_4,110766,509,6664,8762,15935
XGB_5,109692,509,6664,8762,15935
XGB_6,109845,509,6652,8738,15899
XGB_7,105550,509,6664,8762,15935
XGB_8,117031,509,6652,8249,15410
XGB_9,104702,509,6664,8762,15935
XGB_10,104306,509,6664,8762,15935
XGB_11,103122,509,6652,8738,15899
XGB_12,119590,509,6664,8273,15446
XGB_13,108258,510,6652,8742,15904
XGB_14,103494,510,6664,8766,15940
XGB_15,118180,510,6664,8277,15451
XGB_16,105595,510,6652,8742,15904
XGB_17,103023,510,6664,8766,15940
XGB_18,103481,510,6664,8766,15940
XGB_19,103532,510,6652,8742,15904
XGB_20,103534,510,6664,8766,15940
XGB_21,101953,510,6664,8766,15940
XGB_22,103172,510,6652,8742,15904
XGB_23,101720,510,6664,8766,15940
XGB_24,103257,510,6664,8766,15940
XGB_25,107176,510,6652,8742,15904
XGB_26,102727,510,6664,8766,15940
XGB_27,118379,510,6664,8277,15451
XGB_28,122681,510,6652,8253,15415
XGB_29,120223,510,6664,8277,15451
XGB_30,121197,510,6652,8253,15415
XGB_31,118994,510,6664,8277,15451
XGB_32,106679,510,6652,8742,15904
XGB_33,102934,510,6664,8766,15940
XGB_34,103694,510,6664,8766,15940
XGB_35,103166,510,6652,8742,15904
XGB_36,102906,510,6664,8766,15940
XGB_37,94278,510,6664,8766,15940
XGB_38,113316,510,6652,8742,15904
XGB_39,88700,510,6664,8277,15451
XGB_40,90293,510,6652,8253,15415
XGB_41,109647,510,6664,8766,15940
XGB_42,110869,510,6652,8742,15904
XGB_43,116053,510,6664,8766,15940
XGB_44,109976,510,6664,8766,15940
XGB_45,110108,510,6652,8742,15904
XGB_46,109179,510,6664,8766,15940
XGB_47,87391,510,6664,8277,15451
XGB_48,110050,510,6652,8742,15904
XGB_49,87860,510,6664,8277,15451
XGB_50,110494,510,6664,8766,15940
XGB_51,109445,510,6652,8742,15904
XGB_52,109207,510,6664,8766,15940
XGB_53,111016,510,6664,8766,15940
XGB_54,101343,510,6652,8253,15415
XGB_55,87516,510,6664,8277,15451
XGB_56,123161,510,6652,8253,15415
XGB_57,109895,510,6664,8766,15940
XGB_58,122231,510,6664,8277,15451
XGB_59,108847,510,6652,8742,15904
XGB_60,121092,510,6664,8277,15451
XGB_61,118660,510,6652,8253,15415
XGB_62,118415,510,6664,8277,15451
XGB_63,103559,510,6664,8766,15940
XGB_64,103277,510,6652,8742,15904
XGB_65,117564,510,6664,8277,15451
XGB_66,108283,510,6652,8742,15904
XGB_67,117051,510,6664,8277,15451
XGB_68,103434,510,6664,8766,15940
XGB_69,104000,510,6652,8742,15904
XGB_70,99981,510,6664,8766,15940
XGB_71,119091,510,6664,8277,15451
XGB_72,106440,510,6652,8742,15904
XGB_73,104811,510,6664,8766,15940
XGB_74,118548,510,6652,8253,15415
XGB_75,106836,510,6664,8766,15940
XGB_76,117428,510,6664,8277,15451
XGB_77,103857,510,6652,8742,15904
XGB_78,102281,510,6664,8766,15940
XGB_79,103959,510,6652,8742,15904
XGB_80,100717,510,6664,8766,15940
XGB_81,118191,510,6664,8277,15451
XGB_82,105570,510,6652,8742,15904
XGB_83,117869,510,6664,8277,15451
XGB_84,103935,510,6652,8742,15904
XGB_85,103654,510,6664,8766,15940
XGB_86,117483,510,6664,8277,15451
XGB_87,105340,510,6652,8742,15904
XGB_88,103741,510,6664,8766,15940
XGB_89,117033,510,6652,8253,15415
XGB_90,120800,510,6664,8277,15451
XGB_91,104257,510,6652,8742,15904
XGB_92,102845,510,6664,8766,15940
XGB_93,105894,510,6664,8766,15940
XGB_94,114999,510,6652,8253,15415
XGB_95,119467,510,6664,8277,15451
XGB_96,118870,510,6664,8277,15451
XGB_97,102987,510,6652,8742,15904
XGB_98,102658,510,6664,8766,15940
XGB_99,103188,510,6652,8742,15904
XGB_100,118513,510,6664,8277,15451
XGB_101,121127,510,6664,8277,15451
XGB_102,118941,510,6652,8253,15415
XGB_103,102802,511,6664,8770,15945
XGB_104,118681,511,6652,8257,15420
XGB_105,127778,511,6664,8281,15456
XGB_106,109313,511,6664,8770,15945
XGB_107,117410,511,6652,8257,15420
XGB_108,106559,511,6664,8770,15945
XGB_109,117519,511,6664,8281,15456
XGB_110,104581,511,6652,8746,15909
XGB_111,102840,511,6664,8770,15945
XGB_112,117503,511,6652,8257,15420
XGB_113,105813,511,6664,8770,15945
XGB_114,117031,511,6664,8281,15456
XGB_115,119282,511,6652,8257,15420
XGB_116,118558,511,6664,8281,15456
XGB_117,118362,511,6652,8257,15420
XGB_118,119230,511,6664,8281,15456
XGB_119,104689,511,6664,8770,15945
XGB_120,102259,511,6652,8746,15909
XGB_121,118570,511,6664,8281,15456
XGB_122,122033,511,6652,8257,15420
XGB_123,118887,511,6664,8281,15456
XGB_124,120549,511,6664,8281,15456
XGB_125,119281,511,6652,8257,15420
XGB_126,118913,511,6664,8281,15456
XGB_127,103462,511,6652,8746,15909
XGB_128,102221,511,6664,8770,15945
XGB_129,100112,511,6664,8770,15945
XGB_130,117335,511,6652,8257,15420
XGB_131,107327,511,6664,8770,15945
XGB_132,117697,511,6664,8281,15456
XGB_133,103374,511,6652,8746,15909
XGB_134,117500,511,6664,8281,15456
XGB_135,106166,511,6652,8746,15909
XGB_136,118437,511,6664,8281,15456
XGB_137,105315,511,6664,8770,15945
XGB_138,104130,511,6652,8746,15909
XGB_139,117630,511,6664,8281,15456
XGB_140,122114,511,6652,8746,15909
XGB_141,106282,511,6664,8770,15945
XGB_142,117927,511,6664,8281,15456
XGB_143,103115,511,6652,8746,15909
XGB_144,108919,511,6664,8770,15945
XGB_145,117396,511,6664,8281,15456
XGB_146,123912,511,6652,8257,15420
XGB_147,104201,511,6664,8770,15945
XGB_148,117229,511,6664,8281,15456
XGB_149,121162,511,6652,8257,15420
XGB_150,107615,511,6664,8770,15945
XGB_151,103670,511,6652,8746,15909
XGB_152,105214,511,6664,8770,15945
XGB_153,115892,511,6664,8281,15456
XGB_154,106268,511,6652,8746,15909
XGB_155,118756,511,6664,8281,15456
XGB_156,104853,511,6652,8746,15909
XGB_157,103921,511,6664,8770,15945
XGB_158,102886,511,6664,8770,15945
XGB_159,103858,511,6652,8746,15909
XGB_160,116089,511,6664,8281,15456
XGB_161,107243,511,6652,8746,15909
XGB_162,119284,511,6664,8281,15456
XGB_163,104539,511,6664,8770,15945
XGB_164,102875,511,6652,8746,15909
XGB_165,118930,511,6664,8281,15456
XGB_166,106181,511,6652,8746,15909
XGB_167,117033,511,6664,8281,15456
XGB_168,105067,511,6664,8770,15945
XGB_169,103349,511,6652,8746,15909
XGB_170,104122,511,6664,8770,15945
XGB_171,115119,511,6664,8281,15456
XGB_172,120375,511,6652,8257,15420
XGB_173,104707,511,6664,8770,15945
XGB_174,117382,511,6652,8257,15420
XGB_175,105016,511,6664,8770,15945
XGB_176,101902,511,6664,8770,15945
XGB_177,119178,511,6652,8257,15420
XGB_178,107631,511,6664,8770,15945
XGB_179,103207,511,6664,8770,15945
XGB_180,103744,511,6652,8746,15909
XGB_181,102670,511,6664,8770,15945
XGB_182,102348,511,6652,8746,15909
XGB_183,100842,511,6664,8770,15945
XGB_184,112493,511,6664,8281,15456
XGB_185,90434,511,6652,8257,15420
XGB_186,89227,511,6664,8281,15456
XGB_187,111989,511,6652,8746,15909
XGB_188,109767,511,6664,8770,15945
XGB_189,89040,511,6664,8281,15456
XGB_190,111037,511,6652,8746,15909
XGB_191,87609,511,6664,8281,15456
XGB_192,111673,511,6652,8746,15909
XGB_193,88034,511,6664,8281,15456
XGB_194,110353,511,6664,8770,15945
XGB_195,87953,511,6652,8257,15420
XGB_196,78697,511,6664,8281,15456
XGB_197,122526,511,6652,8257,15420
XGB_198,113561,511,6664,8770,15945
XGB_199,121939,511,6664,8281,15456
XGB_200,109623,511,6652,8746,15909
XGB_201,121851,511,6664,8281,15456
XGB_202,121195,511,6652,8257,15420
XGB_203,109797,511,6664,8770,15945
TABPFN_0,79124673,394,6664,103371254,103378312
TABPFN_1,341078,425,6652,103371267,103378344
TABPFN_2,100851,425,6652,103371267,103378344
RF_0,333924,390,6652,856790,863832
RF_1,173515,456,6652,272588,279696
RF_2,150497,454,6652,534651,541757
RF_3,139977,454,6652,625491,632597
RF_4,130092,456,6652,174393,181501
RF_5,140520,454,6652,738952,746058
RF_6,138506,454,6652,268223,275329
RF_7,121866,454,6652,124105,131211
RF_8,130975,454,6652,534651,541757
RF_9,122950,454,6652,268223,275329
RF_10,136584,455,6652,124109,131216
RF_11,132634,455,6652,534655,541762
RF_12,129078,457,6652,126225,133334
RF_13,132637,455,6652,856885,863992
RF_14,124135,457,6652,126225,133334
RF_15,124982,457,6652,576532,583641
RF_16,130234,457,6652,704266,711375
RF_17,134403,457,6652,272592,279701
RF_18,133172,455,6652,738956,746063
RF_19,126003,457,6652,634331,641440
RF_20,520077,455,6652,534655,541762
RF_21,152103,457,6652,576532,583641
RF_22,144046,457,6652,448398,455507
RF_23,134928,457,6652,174234,181343
RF_24,137911,457,6652,442777,449886
RF_25,135241,457,6652,448398,455507
RF_26,135861,455,6652,461267,468374
RF_27,136801,457,6652,126225,133334
RF_28,132564,455,6652,534655,541762
RF_29,131763,455,6652,268227,275334
RF_30,131405,455,6652,461267,468374
RF_31,139125,457,6652,517303,524412
RF_32,131221,457,6652,779955,787064
RF_33,139346,455,6652,625495,632602
RF_34,138981,457,6652,126225,133334
RF_35,140046,457,6652,576532,583641
RF_36,129530,457,6652,511649,518758
RF_37,128319,457,6652,517303,524412
RF_38,130395,457,6652,556665,563774
RF_39,139643,457,6652,659937,667046
RF_40,129433,457,6652,174397,181506
RF_41,129719,457,6652,576532,583641
RF_42,131715,457,6652,738835,745944
RF_43,124775,455,6652,534655,541762
RF_44,126371,457,6652,126225,133334
RF_45,128157,455,6652,625495,632602
RF_46,136826,457,6652,576532,583641
RF_47,140638,457,6652,126225,133334
RF_48,132023,457,6652,576532,583641
RF_49,125734,455,6652,856885,863992
RF_50,127086,457,6652,174397,181506
RF_51,132089,455,6652,124109,131216
RF_52,130943,455,6652,268227,275334
RF_53,128661,455,6652,172118,179225
RF_54,122703,457,6652,126225,133334
RF_55,130634,455,6652,172118,179225
RF_56,124293,455,6652,625495,632602
RF_57,122911,455,6652,172118,179225
RF_58,129904,455,6652,124109,131216
RF_59,125457,455,6652,625495,632602
RF_60,127581,457,6652,174234,181343
RF_61,128526,457,6652,270032,277141
RF_62,130825,457,6652,126225,133334
RF_63,126207,457,6652,174397,181506
RF_64,127469,457,6652,126225,133334
RF_65,121083,457,6652,126225,133334
RF_66,127104,457,6652,448398,455507
RF_67,120309,457,6652,126225,133334
RF_68,132359,455,6652,124109,131216
RF_69,117313,457,6652,576532,583641
RF_70,129561,457,6652,126225,133334
RF_71,139903,455,6652,625495,632602
RF_72,134003,455,6652,268227,275334
RF_73,133120,455,6652,461267,468374
RF_74,120393,455,6652,268227,275334
RF_75,129645,455,6652,124109,131216
RF_76,120057,455,6652,534655,541762
RF_77,126205,455,6652,124109,131216
RF_78,135971,457,6652,704266,711375
RF_79,129472,455,6652,124109,131216
RF_80,129966,457,6652,556665,563774
RF_81,131954,455,6652,738956,746063
RF_82,125224,457,6652,556665,563774
RF_83,112122,457,6652,272592,279701
RF_84,130439,457,6652,269712,276821
RF_85,134305,457,6652,659937,667046
RF_86,123272,457,6652,517303,524412
RF_87,126799,455,6652,268227,275334
RF_88,133518,455,6652,625495,632602
RF_89,127435,455,6652,738956,746063
RF_90,133928,455,6652,172118,179225
RF_91,130700,455,6652,461267,468374
RF_92,129304,455,6652,534655,541762
RF_93,132126,457,6652,126225,133334
RF_94,117652,455,6652,124109,131216
RF_95,128419,457,6652,454215,461324
RF_96,134959,455,6652,461267,468374
RF_97,232094,455,6652,172118,179225
RF_98,168381,457,6652,556665,563774
RF_99,157053,457,6652,494693,501802
RF_100,147083,456,6652,268231,275339
RF_101,148665,456,6652,268231,275339
RF_102,127015,458,6652,126229,133339
RF_103,191421,458,6652,442781,449891
RF_104,140073,456,6652,534659,541767
RF_105,138105,458,6652,576536,583646
RF_106,125731,458,6652,126229,133339
RF_107,139218,458,6652,126229,133339
RF_108,125359,456,6652,268231,275339
RF_109,141876,456,6652,856889,863997
RF_110,131515,458,6652,517307,524417
RF_111,129655,458,6652,174238,181348
RF_112,130689,456,6652,856889,863997
RF_113,138041,456,6652,124113,131221
RF_114,135134,458,6652,659941,667051
RF_115,124677,458,6652,556669,563779
RF_116,129713,458,6652,126229,133339
RF_117,127622,456,6652,461271,468379
RF_118,128751,458,6652,126229,133339
RF_119,137289,456,6652,738960,746068
RF_120,132484,456,6652,738960,746068
RF_121,128473,458,6652,126229,133339
RF_122,123028,458,6652,174238,181348
RF_123,133013,456,6652,172122,179230
RF_124,138812,456,6652,124113,131221
RF_125,134147,458,6652,442781,449891
RF_126,132921,456,6652,738960,746068
RF_127,127815,458,6652,442781,449891
RF_128,129147,456,6652,124113,131221
RF_129,134570,458,6652,448402,455512
RF_130,127288,456,6652,534659,541767
RF_131,111689,458,6652,576536,583646
RF_132,125841,456,6652,625499,632607
RF_133,120206,456,6652,461271,468379
RF_134,129664,458,6652,779959,787069
RF_135,130208,456,6652,461271,468379
RF_136,134599,458,6652,126229,133339
RF_137,126335,458,6652,442781,449891
RF_138,128865,458,6652,126229,133339
RF_139,132787,458,6652,270036,277146
RF_140,128528,456,6652,124113,131221
RF_141,120441,458,6652,494697,501807
RF_142,127037,458,6652,494697,501807
RF_143,122995,456,6652,534659,541767
RF_144,123018,458,6652,704270,711380
RF_145,128106,456,6652,172122,179230
RF_146,110779,456,6652,534659,541767
RF_147,130078,458,6652,126229,133339
RF_148,132729,456,6652,856889,863997
RF_149,135868,458,6652,659941,667051
RF_150,126563,458,6652,556669,563779
RF_151,128507,456,6652,738960,746068
RF_152,133417,458,6652,448402,455512
