Model,Memory used (bytes),Predictor size (bytes),Learner size (bytes),Models size (bytes),Total deployment size (bytes)
NN_TORCH_81,100370,539,6652,350446,357637
NN_TORCH_82,105034,538,6664,176197,183399
NN_TORCH_83,102289,538,6652,23984,31174
NN_TORCH_84,98904,538,6652,183893,191083
NN_TORCH_85,100343,539,6664,544731,551934
NN_TORCH_86,101713,539,6652,105771,112962
NN_TORCH_87,98323,538,6664,19874,27076
NN_TORCH_88,102435,538,6652,125012,132202
NN_TORCH_89,100203,539,6664,318970,326173
NN_TORCH_90,101256,539,6652,102515,109706
NN_TORCH_91,104489,539,6652,297302,304493
NN_TORCH_92,103914,539,6652,524325,531516
NN_TORCH_93,100074,539,6664,42573,49776
NN_TORCH_94,100709,539,6652,1035166,1042357
NN_TORCH_95,104744,538,6652,257261,264451
NN_TORCH_96,98473,539,6652,15577,22768
NN_TORCH_97,101601,538,6664,172163,179365
NN_TORCH_98,102609,539,6652,170925,178116
NN_TORCH_99,102726,538,6664,296296,303498
NN_TORCH_100,101036,538,6652,783279,790469
NN_TORCH_101,103594,538,6664,253016,260218
NN_TORCH_102,104708,539,6652,20487,27678
NN_TORCH_103,102177,540,6652,20164,27356
NN_TORCH_104,105206,540,6664,699631,706835
NN_TORCH_105,103976,540,6652,36449,43641
NN_TORCH_106,102949,540,6652,357196,364388
NN_TORCH_107,99660,540,6652,20131,27323
NN_TORCH_108,105205,540,6664,63430,70634
NN_TORCH_109,100544,540,6652,378698,385890
NN_TORCH_110,98898,539,6664,21803,29006
NN_TORCH_111,99112,540,6652,19819,27011
NN_TORCH_112,99673,539,6652,50635,57826
NN_TORCH_113,103153,539,6664,100751,107954
NN_TORCH_114,99659,539,6652,142780,149971
NN_TORCH_115,105898,539,6652,107307,114498
NN_TORCH_116,101650,539,6652,198287,205478
NN_TORCH_117,101509,539,6664,712267,719470
NN_TORCH_118,102361,540,6652,436285,443477
NN_TORCH_119,99370,540,6652,27383,34575
NN_TORCH_120,103534,540,6652,223948,231140
NN_TORCH_121,135925,540,6664,84291,91495
NN_TORCH_122,109435,539,6652,19047,26238
NN_TORCH_123,111991,540,6652,38256,45448
NN_TORCH_124,107995,540,6652,1011110,1018302
NN_TORCH_125,113462,540,6652,34181,41373
NN_TORCH_126,106640,540,6652,30822,38014
NN_TORCH_127,108667,539,6664,312441,319644
NN_TORCH_128,108437,539,6652,93143,100334
NN_TORCH_129,107197,540,6664,215683,222887
NN_TORCH_130,108090,539,6652,777876,785067
NN_TORCH_131,106864,539,6652,136380,143571
NN_TORCH_132,104544,539,6652,96024,103215
NN_TORCH_133,106188,539,6664,91663,98866
NN_TORCH_134,104941,539,6652,27576,34767
NN_TORCH_135,104931,540,6664,622915,630119
NN_TORCH_136,109806,540,6652,285528,292720
NN_TORCH_137,107018,540,6652,356705,363897
NN_TORCH_138,108849,539,6664,377475,384678
NN_TORCH_139,108188,539,6652,233847,241038
NN_TORCH_140,104651,539,6652,22802,29993
NN_TORCH_141,105160,539,6664,16337,23540
NN_TORCH_142,108900,540,6652,171148,178340
NN_TORCH_143,103581,539,6664,53731,60934
NN_TORCH_144,103112,540,6652,95256,102448
NN_TORCH_145,106024,540,6652,815819,823011
NN_TORCH_146,105463,539,6652,773755,780946
NN_TORCH_147,104054,539,6664,62400,69603
NN_TORCH_148,101675,539,6652,107544,114735
NN_TORCH_149,100178,540,6652,275393,282585
NN_TORCH_150,99854,540,6664,19090,26294
NN_TORCH_151,102477,540,6664,424292,431496
NN_TORCH_152,100691,539,6652,101684,108875
NN_TORCH_153,101834,539,6652,170937,178128
NN_TORCH_154,98855,539,6664,226925,234128
NN_TORCH_155,99772,540,6652,282928,290120
NN_TORCH_156,98549,539,6652,402597,409788
NN_TORCH_157,103269,539,6664,820600,827803
NN_TORCH_158,101508,540,6652,52970,60162
NN_TORCH_159,104021,539,6652,416395,423586
NN_TORCH_160,103930,540,6652,895943,903135
NN_TORCH_161,105125,539,6652,238436,245627
NN_TORCH_162,101128,540,6652,43295,50487
NN_TORCH_163,100141,539,6652,902646,909837
NN_TORCH_164,101952,540,6664,43319,50523
NN_TORCH_165,102497,540,6652,87209,94401
NN_TORCH_166,98674,539,6652,23051,30242
NN_TORCH_167,101134,540,6664,23147,30351
NN_TORCH_168,101703,540,6652,21149,28341
NN_TORCH_169,97967,540,6664,26971,34175
NN_TORCH_170,99828,539,6664,23519,30722
NN_TORCH_171,99946,540,6652,208893,216085
NN_TORCH_172,100615,540,6664,30741,37945
NN_TORCH_173,103649,539,6652,305707,312898
NN_TORCH_174,98848,540,6652,85079,92271
NN_TORCH_175,101143,540,6664,261459,268663
NN_TORCH_176,100518,540,6652,24084,31276
NN_TORCH_177,100660,539,6664,481210,488413
NN_TORCH_178,98899,540,6652,15789,22981
NN_TORCH_179,102799,540,6664,217913,225117
NN_TORCH_180,100856,539,6652,54074,61265
NN_TORCH_181,99508,540,6652,18338,25530
NN_TORCH_182,100338,540,6664,72579,79783
NN_TORCH_183,101625,539,6652,124835,132026
NN_TORCH_184,102761,539,6664,124859,132062
NN_TORCH_185,100223,540,6652,18286,25478
NN_TORCH_186,99539,539,6664,544743,551946
NN_TORCH_187,98956,539,6652,217801,224992
NN_TORCH_188,104490,540,6664,314672,321876
NN_TORCH_189,99253,540,6652,633723,640915
NN_TORCH_190,98506,539,6652,243785,250976
NN_TORCH_191,100580,540,6664,289893,297097
NN_TORCH_192,101392,540,6652,602558,609750
NN_TORCH_193,102105,540,6664,544613,551817
NN_TORCH_194,99611,539,6652,26068,33259
NN_TORCH_195,102009,539,6664,508441,515644
NN_TORCH_196,98601,539,6652,161537,168728
NN_TORCH_197,102842,540,6664,165148,172352
NN_TORCH_198,102116,540,6652,23279,30471
NN_TORCH_199,98697,539,6664,20606,27809
NN_TORCH_200,97981,539,6652,27551,34742
NN_TORCH_201,98421,540,6664,292020,299224
NN_TORCH_202,99709,539,6652,311731,318922
NN_TORCH_203,101038,539,6664,125040,132243
LR_0,323917,390,6652,10478,17520
LR_1,109345,414,6652,10497,17563
LR_2,100126,474,6652,10567,17693
LR_3,107652,472,6664,10589,17725
LR_4,92645,480,6652,10581,17713
LR_5,95582,482,6652,10583,17717
LR_6,93649,482,6664,10607,17753
LR_7,90698,480,6664,10605,17749
LR_8,93310,474,6652,10567,17693
LR_9,91421,480,6664,10605,17749
LR_10,90631,472,6664,10589,17725
LR_11,92919,475,6664,10595,17734
LR_12,91970,473,6664,10593,17730
LR_13,90629,475,6664,10595,17734
LR_14,91337,475,6664,10595,17734
LR_15,93093,483,6652,10587,17722
LR_16,88722,483,6664,10611,17758
LR_17,91083,481,6664,10609,17754
LR_18,88088,481,6664,10609,17754
LR_19,93131,481,6664,10609,17754
LR_20,92223,475,6664,10595,17734
LR_21,89967,481,6664,10609,17754
LR_22,91276,481,6664,10609,17754
LR_23,92657,481,6652,10585,17718
LR_24,91305,483,6664,10611,17758
LR_25,90426,481,6664,10609,17754
LR_26,90717,481,6664,10609,17754
LR_27,91990,473,6664,10593,17730
LR_28,91617,483,6664,10611,17758
LR_29,90254,483,6664,10611,17758
LR_30,89845,483,6652,10587,17722
LR_31,91731,473,6664,10593,17730
LR_32,91640,481,6664,10609,17754
LR_33,90590,483,6664,10611,17758
LR_34,92685,475,6664,10595,17734
LR_35,94442,481,6664,10609,17754
LR_36,92871,483,6664,10611,17758
LR_37,93314,483,6652,10587,17722
LR_38,93533,475,6664,10595,17734
LR_39,93302,483,6664,10611,17758
LR_40,91892,481,6664,10609,17754
LR_41,91029,483,6664,10611,17758
LR_42,89978,483,6664,10611,17758
LR_43,92941,483,6664,10611,17758
LR_44,92181,483,6652,10587,17722
LR_45,91538,483,6664,10611,17758
LR_46,91607,481,6664,10609,17754
LR_47,92925,481,6664,10609,17754
LR_48,89146,483,6664,10611,17758
LR_49,91532,481,6664,10609,17754
LR_50,92161,481,6664,10609,17754
LR_51,91384,483,6664,10611,17758
GBM_0,10299591,391,6652,12505,19548
GBM_1,146311,407,6652,39923,46982
GBM_2,92037,481,6664,21726,28871
GBM_3,100344,496,6664,37134,44294
GBM_4,88989,496,6652,18879,26027
GBM_5,109009,496,6664,36863,44023
GBM_6,88821,496,6664,12086,19246
GBM_7,109156,496,6664,34354,41514
GBM_8,88850,496,6652,12063,19211
GBM_9,145771,496,6664,66796,73956
GBM_10,102436,496,6664,32195,39355
GBM_11,91288,496,6664,17916,25076
GBM_12,94859,496,6652,30199,37347
GBM_13,92121,497,6664,12476,19637
GBM_14,139219,497,6664,76487,83648
GBM_15,90452,497,6664,39908,47069
GBM_16,91359,497,6652,12066,19215
GBM_17,89013,497,6664,15784,22945
GBM_18,88118,497,6664,21084,28245
GBM_19,88654,497,6664,14943,22104
GBM_20,94274,497,6652,20740,27889
GBM_21,88272,497,6664,12090,19251
GBM_22,100719,497,6664,45838,52999
GBM_23,90234,497,6664,12091,19252
GBM_24,89200,497,6652,12066,19215
GBM_25,89066,497,6664,12090,19251
GBM_26,149081,497,6664,168850,176011
GBM_27,88451,497,6652,12068,19217
GBM_28,89668,497,6664,12090,19251
GBM_29,88783,497,6664,12090,19251
GBM_30,87609,497,6664,44287,51448
GBM_31,89207,497,6652,12066,19215
GBM_32,89726,497,6664,18993,26154
GBM_33,114250,497,6664,45772,52933
GBM_34,93320,497,6664,21774,28935
GBM_35,88953,497,6652,12067,19216
GBM_36,87349,497,6664,16925,24086
GBM_37,137120,497,6664,60768,67929
GBM_38,180907,497,6664,127722,134883
GBM_39,89041,497,6652,12066,19215
GBM_40,120312,497,6664,45207,52368
GBM_41,138618,497,6664,86400,93561
GBM_42,88515,497,6664,12090,19251
GBM_43,89919,497,6652,12066,19215
GBM_44,88792,497,6664,26471,33632
GBM_45,87803,497,6664,16719,23880
GBM_46,88823,497,6664,12090,19251
GBM_47,88093,497,6652,12068,19217
GBM_48,88392,497,6664,12092,19253
GBM_49,104850,497,6664,31870,39031
GBM_50,89556,497,6664,12597,19758
GBM_51,88385,497,6652,12066,19215
GBM_52,97071,497,6664,24317,31478
GBM_53,101955,497,6664,33915,41076
GBM_54,161643,497,6664,83036,90197
GBM_55,127298,497,6652,50722,57871
GBM_56,91950,497,6664,21176,28337
GBM_57,91065,497,6664,45596,52757
GBM_58,89234,497,6664,32091,39252
GBM_59,146049,497,6652,72522,79671
GBM_60,89275,497,6664,12090,19251
GBM_61,89569,497,6664,20211,27372
GBM_62,89281,497,6664,12091,19252
GBM_63,115613,497,6652,48260,55409
GBM_64,97338,497,6664,61487,68648
GBM_65,88837,497,6664,12091,19252
GBM_66,89272,497,6652,19453,26602
GBM_67,105806,497,6664,42992,50153
GBM_68,116802,497,6664,49679,56840
GBM_69,88814,497,6664,12090,19251
GBM_70,90133,497,6652,60077,67226
GBM_71,90135,497,6664,12091,19252
GBM_72,88933,497,6664,12092,19253
GBM_73,90684,497,6664,19290,26451
GBM_74,87990,497,6652,12685,19834
GBM_75,88338,497,6664,12092,19253
GBM_76,90048,497,6664,12091,19252
GBM_77,92527,497,6664,32813,39974
GBM_78,89170,497,6652,20123,27272
GBM_79,89661,497,6664,25358,32519
GBM_80,127463,497,6664,62801,69962
GBM_81,129507,497,6664,53733,60894
GBM_82,101203,497,6652,29049,36198
GBM_83,181709,497,6664,101520,108681
GBM_84,89624,497,6664,24364,31525
GBM_85,90476,497,6664,12091,19252
GBM_86,89599,497,6652,12066,19215
GBM_87,89802,497,6664,12091,19252
GBM_88,94311,497,6664,20103,27264
GBM_89,100937,497,6664,28926,36087
GBM_90,94009,497,6652,12573,19722
GBM_91,89242,497,6664,12092,19253
GBM_92,95411,497,6664,40978,48139
GBM_93,92137,497,6664,21888,29049
GBM_94,90025,497,6652,12067,19216
GBM_95,104484,497,6664,31510,38671
GBM_96,146912,497,6664,71511,78672
GBM_97,134841,497,6664,58129,65290
GBM_98,125053,497,6652,56355,63504
GBM_99,87819,497,6664,12090,19251
GBM_100,89526,497,6664,12091,19252
GBM_101,124228,497,6664,59679,66840
GBM_102,86648,497,6652,12067,19216
GBM_103,105738,498,6664,30457,37619
GBM_104,114347,498,6664,48541,55703
GBM_105,88851,498,6664,12095,19257
GBM_106,94914,498,6652,28557,35707
GBM_107,89550,498,6664,16788,23950
GBM_108,88170,498,6664,12095,19257
GBM_109,125617,498,6664,50128,57290
GBM_110,87821,498,6652,12069,19219
GBM_111,89222,498,6664,12093,19255
GBM_112,89117,498,6664,12095,19257
GBM_113,90313,498,6664,18287,25449
GBM_114,107910,498,6652,102333,109483
GBM_115,111006,498,6664,37574,44736
GBM_116,156603,498,6664,79370,86532
GBM_117,151129,498,6652,81428,88578
GBM_118,89697,498,6664,20023,27185
GBM_119,88472,498,6664,16882,24044
GBM_120,89205,498,6664,127954,135116
GBM_121,99930,498,6652,26490,33640
GBM_122,87591,498,6664,12096,19258
GBM_123,109805,498,6664,47100,54262
GBM_124,94405,498,6664,33207,40369
GBM_125,89788,498,6652,31102,38252
GBM_126,91998,498,6664,24035,31197
GBM_127,107601,498,6664,34325,41487
GBM_128,88079,498,6652,12071,19221
GBM_129,87114,498,6664,12094,19256
GBM_130,171847,498,6664,91432,98594
GBM_131,100678,498,6664,29039,36201
GBM_132,89246,498,6652,12070,19220
GBM_133,89956,498,6664,12094,19256
GBM_134,88376,498,6664,21965,29127
GBM_135,87449,498,6664,12094,19256
GBM_136,88744,498,6652,25458,32608
GBM_137,105423,498,6664,44353,51515
GBM_138,87988,498,6664,12095,19257
GBM_139,88472,498,6664,12096,19258
GBM_140,89002,498,6652,12071,19221
GBM_141,90133,498,6664,17571,24733
GBM_142,151291,498,6664,74885,82047
GBM_143,101959,498,6664,29642,36804
GBM_144,101223,498,6652,30948,38098
GBM_145,89485,498,6664,14961,22123
GBM_146,88162,498,6664,12711,19873
GBM_147,87690,498,6664,12095,19257
GBM_148,91111,498,6652,216627,223777
GBM_149,87370,498,6664,12094,19256
GBM_150,87149,498,6664,12094,19256
GBM_151,88592,498,6664,12094,19256
GBM_152,88639,498,6652,31218,38368
GBM_153,112125,498,6664,51164,58326
GBM_154,90348,498,6664,14837,21999
GBM_155,102195,498,6664,29340,36502
GBM_156,91241,498,6652,18957,26107
GBM_157,151917,498,6664,72495,79657
GBM_158,248923,498,6664,56311,63473
GBM_159,141758,498,6664,70294,77456
GBM_160,89853,498,6652,12070,19220
GBM_161,88107,498,6664,14370,21532
GBM_162,94730,498,6664,46597,53759
GBM_163,88809,498,6664,12093,19255
GBM_164,99611,498,6652,39598,46748
GBM_165,88640,498,6664,28870,36032
GBM_166,90145,498,6664,12095,19257
GBM_167,103243,498,6664,34143,41305
GBM_168,112459,498,6652,47831,54981
GBM_169,138765,498,6664,61252,68414
GBM_170,87317,498,6664,12094,19256
GBM_171,124152,498,6664,54762,61924
GBM_172,90958,498,6652,31751,38901
GBM_173,91035,498,6664,12710,19872
GBM_174,189049,498,6664,128860,136022
GBM_175,98593,498,6652,28293,35443
GBM_176,184955,498,6664,103663,110825
GBM_177,87835,498,6664,12600,19762
GBM_178,102584,498,6664,136654,143816
GBM_179,92945,498,6652,20744,27894
GBM_180,88517,498,6664,12714,19876
GBM_181,127636,498,6664,62453,69615
GBM_182,87944,498,6664,21710,28872
GBM_183,169805,498,6652,91784,98934
GBM_184,89419,498,6664,20650,27812
GBM_185,88403,498,6664,12094,19256
GBM_186,89062,498,6664,12597,19759
GBM_187,117643,498,6652,98144,105294
GBM_188,88807,498,6664,17069,24231
GBM_189,87275,498,6664,12096,19258
GBM_190,90564,498,6664,12715,19877
GBM_191,91298,498,6652,32039,39189
GBM_192,155965,498,6664,98298,105460
GBM_193,90740,498,6664,12094,19256
GBM_194,123590,498,6652,59313,66463
GBM_195,93645,498,6664,22537,29699
GBM_196,126806,498,6664,51030,58192
GBM_197,87429,498,6664,12095,19257
GBM_198,88560,498,6652,15224,22374
GBM_199,135698,498,6664,126468,133630
GBM_200,98693,498,6664,34685,41847
GBM_201,94519,498,6664,38886,46048
GBM_202,88725,498,6652,12071,19221
GBM_203,103343,498,6664,137963,145125
KNN_0,148487,412,6664,20584,27660
KNN_1,100697,413,6664,20585,27662
KNN_2,96194,434,6664,20619,27717
KNN_3,90846,435,6652,20596,27683
KNN_4,96642,435,6664,20620,27719
KNN_5,229991,434,6664,12459,19557
KNN_6,114443,435,6664,20620,27719
KNN_7,97364,434,6664,20619,27717
KNN_8,81029,434,6664,20619,27717
KNN_9,71319,434,6664,12459,19557
KNN_10,69991,435,6664,12460,19559
KNN_11,89523,435,6652,20599,27686
KNN_12,92879,435,6664,20623,27722
KNN_13,88342,435,6664,20623,27722
KNN_14,91259,435,6664,20623,27722
KNN_15,82555,436,6664,20624,27724
KNN_16,88534,435,6664,20623,27722
KNN_17,87093,436,6664,20624,27724
KNN_18,87904,436,6664,20624,27724
KNN_19,86575,436,6664,20624,27724
KNN_20,86287,436,6652,20600,27688
KNN_21,75071,436,6664,20624,27724
KNN_22,88192,436,6664,20624,27724
KNN_23,84113,435,6664,20623,27722
KNN_24,81716,435,6664,20623,27722
KNN_25,85737,435,6664,20623,27722
KNN_26,85074,435,6664,20623,27722
KNN_27,74771,435,6664,20623,27722
KNN_28,78205,436,6664,20624,27724
KNN_29,82654,436,6652,20600,27688
KNN_30,80025,436,6664,20624,27724
KNN_31,81948,435,6664,20623,27722
KNN_32,81318,436,6664,20624,27724
KNN_33,64217,436,6664,12464,19564
KNN_34,81682,435,6664,20623,27722
KNN_35,81491,436,6664,20624,27724
KNN_36,82986,435,6664,20623,27722
KNN_37,80868,436,6664,20624,27724
KNN_38,82805,436,6652,20600,27688
KNN_39,79023,436,6664,20624,27724
KNN_40,79216,435,6664,20623,27722
KNN_41,79636,436,6664,20624,27724
KNN_42,80933,435,6664,20623,27722
KNN_43,64396,436,6664,12464,19564
KNN_44,80954,435,6664,20623,27722
KNN_45,87174,435,6664,20623,27722
KNN_46,74388,435,6664,20623,27722
KNN_47,64765,435,6652,12439,19526
KNN_48,82645,435,6664,20623,27722
KNN_49,81570,436,6664,20624,27724
KNN_50,83229,436,6664,20624,27724
KNN_51,64918,435,6664,12463,19562
FT_TRANSFORMER_0,123526994,402,6664,8457,15523
FT_TRANSFORMER_1,927633,631,6652,0,7283
FT_TRANSFORMER_2,729212,631,6652,0,7283
FT_TRANSFORMER_3,718587,631,6652,0,7283
FT_TRANSFORMER_4,713676,634,6664,0,7298
FT_TRANSFORMER_5,708808,632,6652,0,7284
FT_TRANSFORMER_6,710059,632,6664,0,7296
FASTAI_0,7891780,394,6652,8948,15994
FASTAI_1,470938,480,6652,9046,16178
FASTAI_2,413543,482,6652,9048,16182
FASTAI_3,444593,481,6652,9046,16179
FASTAI_4,461595,476,6652,9042,16170
FASTAI_5,406534,477,6652,9043,16172
FASTAI_6,408989,476,6652,9042,16170
FASTAI_7,448466,481,6652,9047,16180
FASTAI_8,353686,481,6652,9047,16180
FASTAI_9,407379,477,6652,9043,16172
FASTAI_10,405403,477,6652,9046,16175
FASTAI_11,438796,481,6652,9049,16182
FASTAI_12,401222,482,6652,9051,16185
FASTAI_13,436802,482,6652,9051,16185
FASTAI_14,345166,482,6652,9050,16184
FASTAI_15,370838,480,6652,9049,16181
FASTAI_16,406965,479,6652,9047,16178
FASTAI_17,344445,483,6652,9052,16187
FASTAI_18,340951,478,6652,9047,16177
FASTAI_19,361797,483,6652,9052,16187
FASTAI_20,395456,477,6652,9046,16175
FASTAI_21,360390,482,6652,9051,16185
FASTAI_22,354827,482,6652,9051,16185
FASTAI_23,329778,482,6652,9051,16185
FASTAI_24,342505,481,6652,9050,16183
FASTAI_25,388796,482,6652,9051,16185
FASTAI_26,362652,482,6652,9051,16185
FASTAI_27,399994,483,6652,9052,16187
FASTAI_28,360438,480,6652,9049,16181
FASTAI_29,436539,481,6652,9049,16182
FASTAI_30,448817,482,6652,9051,16185
FASTAI_31,369215,482,6652,9051,16185
FASTAI_32,395297,481,6652,9050,16183
FASTAI_33,394502,482,6652,9051,16185
FASTAI_34,395920,482,6652,9050,16184
FASTAI_35,380268,481,6652,9049,16182
FASTAI_36,391548,477,6652,9046,16175
FASTAI_37,348879,483,6652,9052,16187
FASTAI_38,338643,476,6652,9044,16172
FASTAI_39,363424,482,6652,9051,16185
FASTAI_40,367333,481,6652,9049,16182
FASTAI_41,419230,480,6652,9049,16181
FASTAI_42,413687,483,6652,9052,16187
FASTAI_43,455357,483,6652,9052,16187
FASTAI_44,399567,481,6652,9050,16183
FASTAI_45,415749,477,6652,9046,16175
FASTAI_46,401903,481,6652,9050,16183
FASTAI_47,405818,480,6652,9049,16181
FASTAI_48,352427,478,6652,9047,16177
FASTAI_49,394383,483,6652,9052,16187
FASTAI_50,385642,477,6652,9046,16175
FASTAI_51,449548,482,6652,9051,16185
FASTAI_52,304419,477,6652,9045,16174
FASTAI_53,365623,482,6652,9051,16185
FASTAI_54,418280,481,6652,9050,16183
FASTAI_55,398708,482,6652,9051,16185
FASTAI_56,403971,477,6652,9046,16175
FASTAI_57,384590,477,6652,9045,16174
FASTAI_58,404012,482,6652,9051,16185
FASTAI_59,402344,483,6652,9052,16187
FASTAI_60,432463,477,6652,9045,16174
FASTAI_61,287401,476,6652,9044,16172
FASTAI_62,401282,483,6652,9052,16187
FASTAI_63,361511,480,6652,9049,16181
FASTAI_64,365236,483,6652,9052,16187
FASTAI_65,384130,478,6652,9047,16177
FASTAI_66,380316,478,6652,9047,16177
FASTAI_67,361760,483,6652,9052,16187
FASTAI_68,360898,480,6652,9049,16181
FASTAI_69,356529,481,6652,9049,16182
FASTAI_70,382752,481,6652,9050,16183
FASTAI_71,355062,483,6652,9052,16187
FASTAI_72,316972,477,6652,9046,16175
FASTAI_73,404100,477,6652,9046,16175
FASTAI_74,405080,481,6652,9050,16183
FASTAI_75,385892,478,6652,9047,16177
FASTAI_76,366654,477,6652,9045,16174
FASTAI_77,403833,480,6652,9049,16181
FASTAI_78,384191,483,6652,9052,16187
FASTAI_79,382956,481,6652,9050,16183
FASTAI_80,332053,479,6652,9047,16178
FASTAI_81,340583,482,6652,9051,16185
FASTAI_82,330113,480,6652,9049,16181
FASTAI_83,360099,482,6652,9051,16185
FASTAI_84,373180,482,6652,9051,16185
FASTAI_85,454474,481,6652,9050,16183
FASTAI_86,318038,482,6652,9051,16185
FASTAI_87,429011,481,6652,9049,16182
FASTAI_88,411482,478,6652,9047,16177
FASTAI_89,375657,482,6652,9051,16185
FASTAI_90,450886,483,6652,9052,16187
FASTAI_91,366327,480,6652,9049,16181
FASTAI_92,333927,478,6652,9047,16177
FASTAI_93,386429,480,6652,9049,16181
FASTAI_94,422617,482,6652,9051,16185
FASTAI_95,348469,482,6652,9050,16184
FASTAI_96,372017,483,6652,9052,16187
FASTAI_97,390646,480,6652,9049,16181
FASTAI_98,349022,477,6652,9046,16175
FASTAI_99,379918,481,6652,9050,16183
FASTAI_100,398183,483,6652,9055,16190
FASTAI_101,347861,483,6652,9055,16190
FASTAI_102,389922,481,6652,9053,16186
FASTAI_103,361513,482,6652,9054,16188
FASTAI_104,398026,481,6652,9053,16186
FASTAI_105,367370,482,6652,9054,16188
FASTAI_106,353998,482,6652,9054,16188
FASTAI_107,357775,483,6652,9055,16190
FASTAI_108,370288,483,6652,9054,16189
FASTAI_109,366470,483,6652,9054,16189
FASTAI_110,346737,483,6652,9055,16190
FASTAI_111,351478,482,6652,9054,16188
FASTAI_112,413971,479,6652,9051,16182
FASTAI_113,365531,477,6652,9048,16177
FASTAI_114,373009,478,6652,9050,16180
FASTAI_115,402373,481,6652,9053,16186
FASTAI_116,360501,483,6652,9055,16190
FASTAI_117,358937,483,6652,9055,16190
FASTAI_118,380502,482,6652,9054,16188
FASTAI_119,436908,484,6652,9056,16192
FASTAI_120,400420,483,6652,9054,16189
FASTAI_121,410257,482,6652,9054,16188
FASTAI_122,394667,482,6652,9054,16188
FASTAI_123,409748,482,6652,9054,16188
FASTAI_124,360573,482,6652,9054,16188
FASTAI_125,394169,483,6652,9055,16190
FASTAI_126,362269,483,6652,9055,16190
FASTAI_127,298528,481,6652,9053,16186
FASTAI_128,442259,480,6652,9051,16183
FASTAI_129,441546,483,6652,9055,16190
FASTAI_130,395496,481,6652,9053,16186
FASTAI_131,378824,481,6652,9052,16185
FASTAI_132,346884,481,6652,9053,16186
FASTAI_133,347751,483,6652,9055,16190
FASTAI_134,321101,483,6652,9055,16190
FASTAI_135,407343,481,6652,9053,16186
FASTAI_136,419312,482,6652,9054,16188
FASTAI_137,377946,480,6652,9051,16183
FASTAI_138,381542,482,6652,9053,16187
FASTAI_139,388659,484,6652,9056,16192
FASTAI_140,369538,483,6652,9054,16189
FASTAI_141,350165,482,6652,9054,16188
FASTAI_142,388834,484,6652,9056,16192
FASTAI_143,378010,483,6652,9055,16190
FASTAI_144,430401,483,6652,9055,16190
FASTAI_145,441314,483,6652,9054,16189
FASTAI_146,465243,483,6652,9055,16190
FASTAI_147,468280,477,6652,9048,16177
FASTAI_148,415601,482,6652,9054,16188
FASTAI_149,380992,481,6652,9053,16186
FASTAI_150,356494,482,6652,9054,16188
FASTAI_151,389054,479,6652,9051,16182
FASTAI_152,385543,483,6652,9055,16190
FASTAI_153,363970,483,6652,9055,16190
FASTAI_154,432725,482,6652,9054,16188
FASTAI_155,365147,481,6652,9053,16186
FASTAI_156,393621,479,6652,9051,16182
FASTAI_157,377504,483,6652,9055,16190
FASTAI_158,439204,484,6652,9056,16192
FASTAI_159,316875,477,6652,9048,16177
FASTAI_160,361450,483,6652,9054,16189
FASTAI_161,357416,483,6652,9055,16190
FASTAI_162,356128,482,6652,9054,16188
FASTAI_163,413286,484,6652,9056,16192
FASTAI_164,373676,482,6652,9054,16188
FASTAI_165,419593,483,6652,9055,16190
FASTAI_166,360728,478,6652,9049,16179
FASTAI_167,406405,483,6652,9055,16190
FASTAI_168,407553,484,6652,9056,16192
FASTAI_169,396395,484,6652,9056,16192
FASTAI_170,378768,483,6652,9055,16190
FASTAI_171,351312,483,6652,9055,16190
FASTAI_172,395861,479,6652,9051,16182
FASTAI_173,429605,482,6652,9053,16187
FASTAI_174,347166,479,6652,9051,16182
FASTAI_175,361487,483,6652,9055,16190
FASTAI_176,401270,482,6652,9054,16188
FASTAI_177,366331,482,6652,9054,16188
FASTAI_178,397232,481,6652,9053,16186
FASTAI_179,383620,478,6652,9050,16180
FASTAI_180,363837,481,6652,9052,16185
FASTAI_181,357755,478,6652,9049,16179
FASTAI_182,363191,481,6652,9053,16186
FASTAI_183,419416,483,6652,9055,16190
FASTAI_184,408376,483,6652,9055,16190
FASTAI_185,363150,483,6652,9055,16190
FASTAI_186,415371,480,6652,9051,16183
FASTAI_187,413319,483,6652,9055,16190
FASTAI_188,395908,482,6652,9054,16188
FASTAI_189,431347,478,6652,9050,16180
FASTAI_190,412560,483,6652,9055,16190
FASTAI_191,335572,483,6652,9055,16190
FASTAI_192,355839,482,6652,9054,16188
FASTAI_193,344632,480,6652,9051,16183
FASTAI_194,373124,484,6652,9056,16192
FASTAI_195,397893,478,6652,9049,16179
FASTAI_196,342095,482,6652,9054,16188
FASTAI_197,356274,482,6652,9054,16188
FASTAI_198,309051,481,6652,9053,16186
FASTAI_199,367824,483,6652,9055,16190
FASTAI_200,409322,483,6652,9054,16189
CAT_0,1516140,391,6652,49825,56868
CAT_1,79121,520,6652,62057,69229
CAT_2,73527,520,6652,52505,59677
CAT_3,73897,524,6652,70021,77197
CAT_4,69475,520,6652,47337,54509
CAT_5,69558,524,6652,48677,55853
CAT_6,70208,520,6652,133858,141030
CAT_7,69757,524,6652,79590,86766
CAT_8,68749,524,6652,45189,52365
CAT_9,67812,520,6652,57505,64677
CAT_10,67219,521,6652,95670,102843
CAT_11,67841,525,6652,48217,55394
CAT_12,68172,525,6652,50841,58018
