GES,QO-ES,QDO-ES,Size-QDO-ES,Infer-QDO-ES
0.7848475547407524,0.8902317409840015,0.8999382572568326,0.9389438963451717,0.9687749535648175
0.8691631824142314,0.9736488413991665,0.9388710966927529,0.9803091544689287,0.986649138154785
0.9638243997966279,0.893984098792236,0.9255087470461797,0.9744364298751712,0.9967865709944019
0.9781422705239894,0.86285924460632,0.928323919075206,0.9549148190787953,0.990128665277106
1.0,0.9988952628910776,0.997399683965915,0.9975925980691036,0.9995325659747983
0.7849629256235083,0.8314957380839457,0.9256290789642161,0.9669666054799194,0.9752877927734847
0.7689311814021462,0.9004374794241082,0.9142750624760762,0.947925121819941,0.9618526105820067
1.0,0.9852181873003643,0.9491494116413716,0.9459044985391343,0.9934950298250638
0.9389258373511267,0.9993569192043716,0.997070543267925,0.9947417859911436,0.9998216066170975
0.8962444729696137,0.9034922808026271,0.9346853600234148,0.9802882200469896,0.9926066820924042
0.8899338772025199,0.9038897272146581,0.9011960456635087,0.9371234666812747,0.9678600425980269
0.7408611887179459,0.9381797930015363,0.9352587125546286,0.9610331092492528,0.9800633120431452
0.8340368707151056,0.8927411791809561,0.8808550021564805,0.9298994065038441,0.9831043921811604
0.8588665520534408,0.8499431982872239,0.9325584552596542,0.9727229367369237,0.988144493472101
0.9990563487916667,0.9319007051098271,0.9790523064043315,0.976205610499464,0.9886881557025884
0.9047168367883522,0.8757742480575208,0.9425576841999156,0.9626294000282686,0.9878296088588094
0.9422068512300952,0.9024301613177995,0.9218020572206782,0.9695056211550155,0.9661655719557112
0.8277518398288866,0.8749607468786713,0.9382767083614217,0.969276596593717,0.9835951171733672
0.8406181863128609,0.9097258239572374,0.9419914931078951,0.9759157945508583,0.984333220055149
0.9340679702760412,0.8382741273154591,0.927660879517118,0.9560636783188476,0.9857971602201877
1.0,1.0,1.0,1.0,1.0
0.9521153854460452,0.9282529214658908,0.9466902794752727,0.9729938915254432,0.9985217409286886
0.86899057789704,0.9049989558011337,0.9220027561306171,0.9479800521325779,0.9842318144658375
0.7972111021824348,0.8888780209269453,0.9002530689364189,0.9210305543181848,0.9472247985379825
0.9607348497832705,0.8533864106142678,0.9439763398861244,0.979859422567823,0.9861713078805913
0.8841775177326939,0.8521099577973027,0.9821775605816884,0.9775524106417933,0.9705789298392629
0.8801515556584084,0.8999270789919611,0.9699108901289266,0.9675702885170011,0.9941370054135008
0.8141101216140896,0.8376440597577464,0.9105964973407101,0.951263163435085,0.9866180389211554
0.8242415435089588,0.8845821448939549,0.954347651334517,0.9647858345731102,0.9832067140073883
0.999803933783047,0.899933724525306,0.9612268153915163,0.9876675581791347,0.9962299430576064
0.9695470656708387,0.9290620730604529,0.9740261268804187,0.9645025366085456,0.9965817451790147
0.9975927096638199,0.9442886774612376,0.9814539947829056,0.9930560086636545,0.9959243607157587
0.6569692430657966,0.8820103309081266,0.9269505390943632,0.9644755181250309,0.9969510881968103
0.7432419945879472,0.8808110095479493,0.9766616538917081,0.9827599810934353,0.988736577133506
0.9345464611705505,0.8774323462966217,0.9251582245984752,0.959017911272231,0.9832385543201262
0.919778851734347,0.8876151099208244,0.8904717160693583,0.9592523268233825,0.979583040358666
0.7766214717721281,0.8045806807937282,0.9474869421251624,0.9679138154150232,0.9824215297318742
0.9175168043499478,0.904918271200097,0.9099532971485493,0.9626493075210698,0.9722886260919996
1.0,1.0,0.9999700787007644,1.0,1.0
0.8690706000092299,0.9404287499485596,0.8673159356692812,0.954700370330443,0.972082178773346
