GES,Multi-GES
0.9973873735357595,0.6166502216096388
0.044362377700571436,1.0200999999999998
0.9064700235185086,0.5003454950769494
0.9498169738087052,0.5497981239677151
0.005124668315000005,1.0200999999999998
0.8345444850795039,0.6423645357273033
0.987169163965967,0.5105269199303322
0.6688496218670277,0.8677836961433334
0.010100000000000008,0.21047440998099312
0.010100000000000008,0.020100000000000014
0.9987388869587249,0.847149909772002
0.9497674593232179,0.4194822258917258
0.979731943313064,0.5377135457459232
0.8011381211041451,0.773708495092758
0.0034333333333333355,0.6867666666666669
0.010100000000000008,0.020100000000000014
0.5231477592093332,1.0113175334296092
1.0011055258892614,0.853451665729413
0.881877652830482,0.5338943441299235
1.0080377113574495,0.9549813957125206
0.32714084330717097,0.9923741275233334
0.32966625077019307,0.6692131403458597
